Id,Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1,0.005,3,-14,1004,-840,-2660,350
2,0.01,2,-13,1005,-910,-2590,350
3,0.015,4,-13,1004,-840,-2590,420
4,0.02,3,-12,1005,-840,-2660,420
5,0.025,4,-13,1004,-840,-2660,420
6,0.03,2,-14,1005,-840,-2730,420
7,0.035,3,-15,1005,-840,-2660,350
8,0.04,2,-13,1004,-840,-2730,490
9,0.045,3,-13,1005,-770,-2660,420
10,0.05,3,-13,1005,-910,-2660,420
11,0.055,3,-13,1005,-910,-2590,420
12,0.06,3,-14,1005,-910,-2660,420
13,0.065,2,-15,1005,-840,-2660,350
14,0.07,3,-14,1005,-840,-2590,350
15,0.075,3,-13,1005,-910,-2590,420
16,0.08,3,-13,1005,-910,-2590,350
17,0.085,2,-13,1005,-840,-2730,350
18,0.09,3,-13,1005,-840,-2660,350
19,0.095,3,-13,1005,-840,-2660,420
20,0.1,2,-13,1004,-910,-2660,420
21,0.105,4,-13,1005,-840,-2660,420
22,0.11,3,-13,1005,-840,-2590,420
23,0.115,3,-14,1006,-910,-2660,420
24,0.12,3,-13,1004,-910,-2660,350
25,0.125,3,-14,1005,-840,-2730,420
26,0.13,3,-13,1004,-840,-2590,350
27,0.135,3,-13,1005,-840,-2590,420
28,0.14,2,-13,1005,-910,-2660,350
29,0.145,2,-14,1005,-910,-2660,350
30,0.15,4,-14,1002,-910,-2660,420
31,0.155,1,-13,1008,-840,-2730,420
32,0.16,2,-12,1005,-910,-2660,350
33,0.165,2,-13,1007,-840,-2730,350
34,0.17,2,-13,1006,-910,-2590,350
35,0.175,3,-13,1005,-910,-2660,350
36,0.18,3,-14,1006,-840,-2590,350
37,0.185,4,-13,1004,-840,-2730,420
38,0.19,2,-13,1005,-840,-2660,350
39,0.195,3,-13,1003,-910,-2730,420
40,0.2,2,-14,1007,-840,-2730,420
41,0.205,3,-13,1005,-840,-2660,420
42,0.21,3,-12,1004,-840,-2730,420
43,0.215,5,-11,1005,-840,-2660,350
44,0.22,3,-12,1004,-840,-2590,350
45,0.225,3,-14,1005,-840,-2660,350
46,0.23,1,-14,1005,-910,-2590,350
47,0.235,3,-13,1006,-840,-2660,350
48,0.24,2,-13,1005,-840,-2660,420
49,0.245,4,-12,1005,-840,-2660,420
50,0.25,3,-12,1005,-910,-2590,420
51,0.255,2,-13,1006,-910,-2660,420
52,0.26,3,-14,1006,-840,-2660,420
53,0.265,2,-14,1005,-910,-2660,420
54,0.27,2,-13,1005,-910,-2730,350
55,0.275,4,-13,1004,-840,-2660,350
56,0.28,3,-13,1005,-840,-2590,350
57,0.285,2,-13,1005,-840,-2660,420
58,0.29,2,-14,1003,-910,-2660,420
59,0.295,4,-12,1003,-840,-2590,420
60,0.3,2,-12,1008,-840,-2660,420
61,0.305,0,-13,1010,-840,-2450,350
62,0.31,5,-15,1002,-910,-2800,350
63,0.315,1,-13,1008,-840,-2660,350
64,0.32,3,-12,1006,-840,-2660,420
65,0.325,4,-13,1005,-840,-2660,350
66,0.33,2,-13,1006,-840,-2660,350
67,0.335,3,-13,1004,-840,-2590,420
68,0.34,3,-13,1006,-910,-2590,420
69,0.345,3,-13,1004,-840,-2660,350
70,0.35,2,-13,1006,-910,-2730,350
71,0.355,1,-14,1006,-910,-2590,350
72,0.36,3,-12,1004,-840,-2660,350
73,0.365,2,-12,1006,-840,-2730,350
74,0.37,4,-12,1006,-840,-2590,420
75,0.375,3,-14,1005,-840,-2730,420
76,0.38,2,-14,1005,-910,-2660,350
77,0.385,3,-14,1004,-910,-2730,350
78,0.39,3,-12,1005,-840,-2660,350
79,0.395,3,-12,1004,-840,-2730,350
80,0.4,2,-13,1006,-840,-2660,350
81,0.405,3,-14,1005,-910,-2590,350
82,0.41,2,-14,1005,-840,-2660,420
83,0.415,4,-13,1005,-840,-2730,490
84,0.42,3,-12,1005,-910,-2660,420
85,0.425,4,-13,1004,-840,-2660,350
86,0.43,2,-14,1006,-840,-2660,350
87,0.435,2,-15,1005,-840,-2660,420
88,0.44,2,-14,1005,-840,-2660,420
89,0.445,3,-13,1005,-840,-2660,420
90,0.45,4,-11,1005,-840,-2660,420
91,0.455,4,-14,1005,-910,-2660,420
92,0.46,1,-14,1005,-840,-2590,420
93,0.465,3,-14,1006,-910,-2660,350
94,0.47,3,-13,1005,-840,-2660,420
95,0.475,3,-12,1005,-910,-2660,420
96,0.48,3,-13,1004,-840,-2730,420
97,0.485,2,-14,1005,-840,-2660,350
98,0.49,3,-15,1005,-840,-2730,350
99,0.495,2,-14,1005,-840,-2660,350
100,0.5,3,-12,1005,-840,-2660,420
101,0.505,3,-13,1005,-840,-2590,350
102,0.51,2,-13,1005,-910,-2660,420
103,0.515,2,-14,1005,-840,-2590,420
104,0.52,2,-14,1006,-910,-2660,420
105,0.525,3,-12,1005,-910,-2660,420
106,0.53,3,-12,1005,-840,-2730,420
107,0.535,2,-13,1006,-840,-2590,420
108,0.54,3,-14,1004,-910,-2660,350
109,0.545,4,-16,1004,-910,-2660,420
110,0.55,2,-14,1005,-910,-2590,350
111,0.555,4,-12,1004,-840,-2730,350
112,0.56,3,-13,1005,-840,-2660,350
113,0.565,3,-13,1005,-910,-2660,350
114,0.57,1,-14,1005,-910,-2660,420
115,0.575,3,-14,1003,-910,-2660,420
116,0.58,2,-14,1006,-840,-2590,420
117,0.585,3,-12,1005,-840,-2730,350
118,0.59,3,-13,1006,-840,-2730,350
119,0.595,2,-13,1007,-840,-2660,420
120,0.6,4,-13,1005,-840,-2660,420
121,0.605,3,-14,1005,-840,-2730,420
122,0.61,2,-12,1005,-840,-2590,420
